Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Beatragus_hunteri,Cetartiodactyla,Bovidae,NA,4.903089986991944,mam
Belomys_pearsonii,Rodentia,Sciuridae,NA,2.3364597338485296,mam
Berylmys_berdmorei,Rodentia,Muridae,NA,2.3710678622717363,mam
Berylmys_bowersi,Rodentia,Muridae,NA,2.4771212547196626,mam
Berylmys_mackenziei,Rodentia,Muridae,NA,2.4082399653118496,mam
Berylmys_manipulus,Rodentia,Muridae,NA,2.0644579892269186,mam
Bettongia_anhydra,Diprotodontia,Potoroidae,NA,3.199288828082406,mam
Bettongia_gaimardi,Diprotodontia,Potoroidae,NA,3.220108088040055,mam
Bettongia_lesueur,Diprotodontia,Potoroidae,NA,3.1760912590556813,mam
Bettongia_penicillata,Diprotodontia,Potoroidae,NA,3.113943352306837,mam
Bettongia_pusilla,Diprotodontia,Potoroidae,NA,3.201096565039467,mam
Bettongia_tropica,Diprotodontia,Potoroidae,NA,3.0791812460476247,mam
Bibimys_chacoensis,Rodentia,Cricetidae,NA,1.4471580313422192,mam
Bibimys_labiosus,Rodentia,Cricetidae,NA,1.462397997898956,mam
Bibimys_torresi,Rodentia,Cricetidae,NA,1.4471580313422192,mam
Bison_bison,Cetartiodactyla,Bovidae,NA,5.762870016135253,mam
Bison_bonasus,Cetartiodactyla,Bovidae,NA,5.698970004336019,mam
Biswamoyopterus_biswasi,Rodentia,Sciuridae,NA,3.2077151338055665,mam
Blanfordimys_afghanus,Rodentia,Cricetidae,NA,1.4885507165004443,mam
Blanfordimys_bucharensis,Rodentia,Cricetidae,NA,1.5440680443502757,mam
