Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Dasymys_incomtus,Rodentia,Muridae,3.2351242640194617,1.9552065375419418,density
Dasyurus_geoffroii,Dasyuromorphia,Dasyuridae,0.36172783601759284,3.041392685158225,density
Dasyurus_hallucatus,Dasyuromorphia,Dasyuridae,1.2105860249051565,2.720159303405957,density
Dasyurus_maculatus,Dasyuromorphia,Dasyuridae,0.5428254269591799,3.7403626894942437,density
Dasyurus_viverrinus,Dasyuromorphia,Dasyuridae,1.2787536009528289,3.037426497940624,density
Daubentonia_madagascariensis,Primates,Daubentoniidae,1.5997739391463883,3.3979400086720375,density
Delanymys_brooksi,Rodentia,Nesomyidae,2.9407554803427463,0.6989700043360189,density
Dipodomys_agilis,Rodentia,Heteromyidae,2.8375253094496014,1.7626785637274363,density
Dipodomys_deserti,Rodentia,Heteromyidae,2.205475036740891,2.019116290447073,density
Dipodomys_elator,Rodentia,Heteromyidae,3.108690152868758,1.8893017025063104,density
Dipodomys_heermanni,Rodentia,Heteromyidae,3.0645815209486944,1.8573324964312685,density
Dipodomys_ingens,Rodentia,Heteromyidae,3.5875257612206854,2.126780577012009,density
Dipodomys_merriami,Rodentia,Heteromyidae,2.5724184919871167,1.6232492903979006,density
Dipodomys_microps,Rodentia,Heteromyidae,3.0645927493630523,1.7371926427047373,density
Dipodomys_nelsoni,Rodentia,Heteromyidae,2.5724184919871167,1.9474337218870508,density
Dipodomys_ordii,Rodentia,Heteromyidae,2.4727564493172123,1.7810369386211318,density
Dipodomys_spectabilis,Rodentia,Heteromyidae,2.599566511001618,2.1332194567324945,density
Dipodomys_stephensi,Rodentia,Heteromyidae,3.5289154153808373,1.8438554226231612,density
Dromiciops_gliroides,Microbiotheria,Microbiotheriidae,1.6988831367525903,1.3483048630481607,density
Dymecodon_pilirostris,Eulipotyphla,Talpidae,3.6989691357461862,1.209515014542631,density
Echimys_chrysurus,Rodentia,Echimyidae,0.7923916894982539,2.8145805160103188,density
Pattonomys_semivillosus,Rodentia,Echimyidae,1.5493711523331772,2.3010299956639813,density
Eira_barbara,Carnivora,Mustelidae,0.24797326636180664,3.5921767573958667,density
Elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae,1.5196967671598531,1.6766936096248666,density
Elephantulus_edwardii,Macroscelidea,Macroscelididae,3.1674384476125277,1.6812412373755872,density
Geocapromys_ingrahami,Rodentia,Echimyidae,3.4771212547196626,2.9030899869919438,density
Geomys_attwateri,Rodentia,Geomyidae,3.3064121593753977,2.0784568180532927,density
Geomys_breviceps,Rodentia,Geomyidae,1.7139942676606439,2.02201573981772,density
Geomys_bursarius,Rodentia,Geomyidae,3.0969100130080562,2.3811150807098507,density
Georychus_capensis,Rodentia,Bathyergidae,3.041392685158225,2.36679638328673,density
