Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,source
Dipodomys_deserti,Rodentia,Heteromyidae,2.205475036740891,2.019116290447073,PanTHERIA.2008
Dipodomys_elator,Rodentia,Heteromyidae,3.108690152868758,1.8893017025063104,PanTHERIA.2008
Dipodomys_heermanni,Rodentia,Heteromyidae,3.0645815209486944,1.8573324964312685,PanTHERIA.2008
Dipodomys_ingens,Rodentia,Heteromyidae,3.5875257612206854,2.126780577012009,PanTHERIA.2008
Dipodomys_merriami,Rodentia,Heteromyidae,2.5724184919871167,1.6232492903979006,PanTHERIA.2008
Dipodomys_microps,Rodentia,Heteromyidae,3.0645927493630523,1.7371926427047373,PanTHERIA.2008
Dipodomys_nelsoni,Rodentia,Heteromyidae,2.5724184919871167,1.9474337218870508,PanTHERIA.2008
Dipodomys_ordii,Rodentia,Heteromyidae,2.4727564493172123,1.7810369386211318,PanTHERIA.2008
Dipodomys_spectabilis,Rodentia,Heteromyidae,2.599566511001618,2.1332194567324945,PanTHERIA.2008
Dipodomys_stephensi,Rodentia,Heteromyidae,3.5289154153808373,1.8438554226231612,PanTHERIA.2008
Dromiciops_gliroides,Microbiotheria,Microbiotheriidae,1.6988831367525903,1.3483048630481607,PanTHERIA.2008
Dymecodon_pilirostris,Eulipotyphla,Talpidae,3.6989691357461862,1.209515014542631,PanTHERIA.2008
Echimys_chrysurus,Rodentia,Echimyidae,0.7923916894982539,2.8145805160103188,PanTHERIA.2008
Pattonomys_semivillosus,Rodentia,Echimyidae,1.5493711523331772,2.3010299956639813,PanTHERIA.2008
Eira_barbara,Carnivora,Mustelidae,0.24797326636180664,3.5921767573958667,PanTHERIA.2008
Elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae,1.5196967671598531,1.6766936096248666,PanTHERIA.2008
Elephantulus_edwardii,Macroscelidea,Macroscelididae,3.1674384476125277,1.6812412373755872,PanTHERIA.2008
Enhydra_lutris,Carnivora,Mustelidae,0.8102325179950841,4.371067862271736,PanTHERIA.2008
Geocapromys_ingrahami,Rodentia,Echimyidae,3.4771212547196626,2.9030899869919438,PanTHERIA.2008
Geomys_attwateri,Rodentia,Geomyidae,3.3064121593753977,2.0784568180532927,PanTHERIA.2008
Geomys_breviceps,Rodentia,Geomyidae,1.7139942676606439,2.02201573981772,PanTHERIA.2008
Geomys_bursarius,Rodentia,Geomyidae,3.0969100130080562,2.3811150807098507,PanTHERIA.2008
Georychus_capensis,Rodentia,Bathyergidae,3.041392685158225,2.36679638328673,PanTHERIA.2008
Geoxus_valdivianus,Rodentia,Cricetidae,1.6004283257321312,1.4983105537896004,PanTHERIA.2008
Gerbilliscus_kempi,Rodentia,Muridae,2.8076567758102207,2.0043213737826426,PanTHERIA.2008
Gerbilliscus_leucogaster,Rodentia,Muridae,2.218377933291753,1.8621313793130372,PanTHERIA.2008
Gerbillurus_paeba,Rodentia,Muridae,2.9379189026477803,1.3673559210260189,PanTHERIA.2008
Gerbillurus_tytonis,Rodentia,Muridae,3.230448921378274,1.4913616938342726,PanTHERIA.2008
Eschrichtius_robustus,Cetartiodactyla,Eschrichtiidae,0.6901960800285137,7.45484486000851,PanTHERIA.2008
Eudorcas_rufifrons,Cetartiodactyla,Bovidae,0.1931245983544616,4.43136054715091,PanTHERIA.2008
Gulo_gulo,Carnivora,Mustelidae,-2.101486314284163,4.230770691000255,PanTHERIA.2008
Gymnobelideus_leadbeateri,Diprotodontia,Petauridae,2.412057146690156,2.103803720955957,PanTHERIA.2008
Hapalemur_griseus,Primates,Lemuridae,1.792391689498254,2.9542425094393248,PanTHERIA.2008
Heliophobius_argenteocinereus,Rodentia,Bathyergidae,3.7634279935629373,2.2576785748691846,PanTHERIA.2008
Herpestes_javanicus,Carnivora,Herpestidae,1.5975855017522047,2.8750612633917,PanTHERIA.2008
Felis_silvestris,Carnivora,Felidae,-0.44369749923271273,3.7403626894942437,PanTHERIA.2008
